,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,1.588747452161251,0.4117988782051282,0.43419617618909834,0.21017832097775996,0.43678621518733723,1.2615030234373068,1.90875158511417,0.5634,0.17844444444444443,0.5354444444444444
1,1,390,1.1414494418180905,0.5924879807692308,0.6315098370871539,0.24097834803528467,0.5777866880513232,0.8952675205242785,1.4622658222493992,0.6955,0.40166666666666667,0.462
2,2,390,0.86976906030606,0.7029246794871795,0.7190010906096286,0.5582047685834503,0.4145461831296333,0.746987562768067,0.41576696932315826,0.747,0.8636666666666667,0.11388888888888889
3,3,390,0.7384535786433097,0.7520833333333333,0.7698642332517249,0.5919839679358717,0.4146292585170341,0.831699403026436,0.11091246905828446,0.7281,0.9637777777777777,0.029666666666666668
4,4,390,0.6584972486282006,0.7843349358974359,0.8036501224126419,0.6104208416833667,0.412625250501002,0.6267775651774828,0.16992941923754315,0.7955,0.9415555555555556,0.04833333333333333
5,5,390,0.616136966072596,0.7977564102564103,0.8203672787979966,0.5943943943943943,0.4218218218218218,0.6363205106198033,0.14502700081121334,0.7966,0.9552222222222222,0.03888888888888889
6,6,390,0.5558351688660108,0.8178285256410256,0.8406597075385608,0.6123021438589461,0.4241634942897215,0.5597002015838141,0.19013887266038168,0.8136,0.9387777777777778,0.05311111111111111
7,7,390,0.5229712960811762,0.8299479166666667,0.853038059203205,0.6220440881763527,0.41783567134268534,0.6392640543134906,0.2110178525179205,0.8023,0.9465555555555556,0.04555555555555556
8,8,390,0.4964450466709259,0.8391025641025641,0.8636960537737319,0.6177118813864957,0.4165497896213184,0.4865701470193984,0.5561018682701487,0.8398,0.8334444444444444,0.15188888888888888
9,9,390,0.464835602694597,0.85078125,0.8758235398860399,0.6254006410256411,0.41806891025641024,0.538896879817866,0.08258092018749408,0.8288,0.9692222222222222,0.028555555555555556
10,10,390,0.44838201785698917,0.8569711538461539,0.8826645300571988,0.6255762677891361,0.4221286831028262,0.4602081102283695,0.1329211317474993,0.8501,0.9592222222222222,0.03677777777777778
11,11,390,0.4247314556286885,0.8631810897435898,0.8905112738442362,0.6172641698377729,0.425595834167835,0.45490731449821326,0.2920936031240812,0.8533,0.9198888888888889,0.072
12,12,390,0.4062884416335668,0.8689703525641026,0.896686029689969,0.6193625977149729,0.4307476448186009,0.4132389767637736,0.15486581370391897,0.8642,0.9506666666666667,0.04388888888888889
13,13,390,0.39307365249364806,0.8743589743589744,0.9034656220090369,0.6124574404165832,0.43821349889845784,0.40616368926778623,0.12316728378055801,0.873,0.9612222222222222,0.035333333333333335
14,14,390,0.3794653547115815,0.8793269230769231,0.9069135912389262,0.63115738886664,0.41890268321986385,0.4375786123019231,0.18811695288184663,0.8679,0.9373333333333334,0.05677777777777778
15,15,390,0.36344162011757875,0.8838141025641025,0.9130163817663818,0.6209935897435898,0.42568108974358976,0.45040295207047765,0.11175871649297925,0.8593,0.9626666666666667,0.03411111111111111
16,16,390,0.34367313507275704,0.891426282051282,0.9205208101491209,0.6294589178356713,0.42685370741482964,0.42490690229814265,0.12695907424925498,0.8678,0.9625555555555556,0.034444444444444444
17,17,390,0.33880417560919734,0.8926682692307693,0.9223030869555541,0.6257767087592704,0.43375425937061535,0.6539799986006338,0.10118220929666356,0.8195,0.9657777777777777,0.029222222222222222
18,18,390,0.33282829970121386,0.8948317307692307,0.9256143162393162,0.6177884615384616,0.4344951923076923,0.4813161999741687,0.22441524524294154,0.8524,0.9378888888888889,0.055
19,19,390,0.3190744604437779,0.9005608974358974,0.9313361080816399,0.6235223402123823,0.43478260869565216,0.4314933336233791,0.18882370952674202,0.8644,0.9487777777777778,0.04766666666666667
20,20,390,0.30653431446124346,0.9030849358974359,0.9344313376363231,0.6208416833667335,0.4326653306613226,0.4225896900590462,0.13375887123894104,0.877,0.9612222222222222,0.036333333333333336
21,21,390,0.2926557326546082,0.9097355769230769,0.9401762663580522,0.6355252606255012,0.4210104250200481,0.5259429993508737,0.17521162391443487,0.8532,0.9464444444444444,0.04888888888888889
22,22,390,0.2877364884584378,0.9099559294871795,0.9410625653809344,0.6299338809857744,0.4241634942897215,0.4115782176391988,0.23634973519914587,0.8771,0.9366666666666666,0.058666666666666666
23,23,390,0.2811453436811765,0.9127203525641026,0.9448932808083506,0.6229705351773902,0.43936660653437565,0.39823554974945286,0.12442266158300491,0.8866,0.9632222222222222,0.034
24,24,390,0.26930043599926506,0.9169070512820513,0.9482482304233628,0.6349619543452143,0.42691229475370446,0.3254951068872138,0.14084232232572746,0.8994,0.9568888888888889,0.04022222222222222
25,25,390,0.26157210431037803,0.9193309294871795,0.9516750139120757,0.6284284284284284,0.43163163163163165,0.3656407208948196,0.14592287324788705,0.8954,0.9593333333333334,0.03866666666666667
26,26,390,0.25858568891118733,0.9201522435897436,0.9524763494713411,0.6294294294294295,0.42662662662662665,0.42565613155123555,0.0911667331164493,0.8804,0.9647777777777777,0.032
27,27,390,0.24590226505429316,0.9228966346153846,0.9545080234136788,0.6382040489075967,0.4197233914612147,0.39710034448889237,0.16494716630435327,0.889,0.9511111111111111,0.04477777777777778
28,28,390,0.2432845455713761,0.9239783653846154,0.9572465058310335,0.6242983159582999,0.43464314354450684,0.47070594537484495,0.1644906966461682,0.8766,0.9492222222222222,0.04711111111111111
29,29,390,0.2362042680191688,0.9283253205128205,0.9612987937864423,0.6311672683513839,0.43020457280385077,0.3467769668072085,0.248769096085723,0.9009,0.9366666666666666,0.059555555555555556
30,30,390,0.22545398668600963,0.9307491987179487,0.9634955259760495,0.6361633960752904,0.4221065278334001,0.36515946252436576,0.1156262995275131,0.8991,0.9643333333333334,0.034
31,31,390,0.22461947771983268,0.9303886217948718,0.9622746494547073,0.6432865731462926,0.41703406813627253,0.38666441055792794,0.08714042285999979,0.8982,0.9697777777777777,0.029111111111111112
32,32,390,0.2237752843170594,0.9305689102564103,0.9639645655270656,0.6300080128205128,0.4312900641025641,0.40242486758322654,0.09574370805447115,0.8907,0.9681111111111111,0.030333333333333334
33,33,390,0.21474991597426243,0.9348557692307692,0.9679709757834758,0.6368189102564102,0.42267628205128205,0.3998497541569456,0.12336879630218929,0.8959,0.9565555555555556,0.04077777777777778
34,34,390,0.20892379868489044,0.9356570512820512,0.9687270460970018,0.6380933306629281,0.4247947125976367,0.39537955160382426,0.14833006254908904,0.8965,0.959,0.03822222222222222
35,35,390,0.19986168396396514,0.9384014423076923,0.9700672096853162,0.6530284797432812,0.4159647011632571,0.4312979807204838,0.08245951146654733,0.8902,0.9711111111111111,0.027444444444444445
36,36,390,0.19541736010175484,0.9408653846153846,0.9736666369869112,0.6459167333867094,0.4173338670936749,0.36780964328518395,0.11616151871054735,0.9055,0.9674444444444444,0.03122222222222222
37,37,390,0.19786386307424458,0.9385416666666667,0.9718432123222116,0.6388944522331264,0.424193871419988,0.4546514621263818,0.1336562199203271,0.8912,0.9597777777777777,0.038
38,38,390,0.19261268854905397,0.9416065705128205,0.9757145401121895,0.6349079263410728,0.4267413931144916,0.37822640149653713,0.24869039854113484,0.905,0.9321111111111111,0.06422222222222222
39,39,390,0.18826960624219516,0.9415464743589743,0.9746072016735656,0.6436020858403529,0.41776975531488164,0.365253017295765,0.26538796523507213,0.9017,0.9211111111111111,0.07433333333333333
40,40,390,0.17913800008021868,0.9458533653846154,0.9789232378535977,0.6480256564441772,0.41691721787933456,0.3483229115416732,0.144944957975613,0.9086,0.963,0.03422222222222222
41,41,390,0.1725532517505762,0.9477564102564102,0.9796109157280862,0.6611934321185422,0.4050861033239888,0.3859358573261696,0.1116349047695903,0.9034,0.9622222222222222,0.036
42,42,390,0.17707382027919477,0.9453325320512821,0.9784094197253322,0.6477067895053075,0.41698377728820346,0.379399835403207,0.18078115934007605,0.9045,0.9453333333333334,0.05177777777777778
43,43,390,0.1670192376543314,0.9492588141025641,0.9814592236467237,0.6594551282051282,0.4120592948717949,0.37921092847857296,0.09792012844929918,0.907,0.971,0.02788888888888889
44,44,390,0.16157576960439865,0.9514222756410257,0.9835062102123492,0.6627953544253103,0.4048858630356428,0.40664900575257557,0.17103712443052463,0.902,0.9531111111111111,0.04388888888888889
45,45,390,0.15573833745259505,0.9532251602564102,0.9855095045185416,0.6627953544253103,0.4040849018822587,0.39886966545747804,0.10816381667071664,0.9067,0.965,0.03333333333333333
46,46,390,0.158938020037917,0.9506810897435898,0.9827716689667453,0.6619943932719263,0.40428514217060474,0.4023263220545612,0.18535800091922283,0.9077,0.9481111111111111,0.049444444444444444
47,47,390,0.16015017681205884,0.9513221153846154,0.9841538324579364,0.6555733761026463,0.4135926222935044,0.40158206601686114,0.15191851732071857,0.9086,0.9595555555555556,0.03811111111111111
48,48,390,0.14898329500395519,0.9550480769230769,0.9867568830821963,0.6696052895211381,0.40212382288118614,0.37384709621532053,0.11220948870989009,0.9128,0.9652222222222222,0.033555555555555554
49,49,390,0.1412612911982414,0.9572315705128205,0.9882046602719605,0.6781632243833968,0.3966312412271907,0.4113465292921549,0.07566690829444782,0.9059,0.9707777777777777,0.027666666666666666
50,50,390,0.14461397253550015,0.9550280448717948,0.9863791146424518,0.6726798957706955,0.3966726798957707,0.39718621856049646,0.20689973909355386,0.9041,0.9491111111111111,0.04911111111111111
51,51,390,0.14120270788478545,0.9563301282051282,0.9881808266743829,0.66973763268576,0.40036050470658924,0.41554530417617364,0.13934051962798907,0.9044,0.9651111111111111,0.03277777777777778
52,52,390,0.1386354693856377,0.9575921474358975,0.9878474927107214,0.6852334201562813,0.38529352835103187,0.387124537855764,0.16261662852386355,0.9084,0.953,0.04477777777777778
53,53,390,0.13329598269401452,0.9592147435897436,0.9896719049102969,0.685222266720064,0.3866639967961554,0.4082466667588753,0.11771740599102537,0.9061,0.9632222222222222,0.034555555555555555
54,54,390,0.1301171605117046,0.9606971153846153,0.9904068732193733,0.6933092948717948,0.37880608974358976,0.40214588285624225,0.1156846740542137,0.9081,0.9646666666666667,0.034333333333333334
55,55,390,0.13048533771473628,0.9605969551282051,0.9914313057799737,0.6829023852475447,0.3952695931048306,0.4272671489021446,0.1200671135841436,0.9071,0.966,0.03188888888888889
56,56,390,0.12351889098301912,0.9620592948717949,0.9907188960605386,0.7040080160320641,0.3683366733466934,0.41351539424703093,0.13288349614963985,0.9101,0.9611111111111111,0.037333333333333336
57,57,390,0.12199769065930294,0.9626001602564103,0.9910970642569388,0.7060709276698056,0.36686034862752953,0.38467734542828574,0.15190121397690873,0.9117,0.9585555555555556,0.04011111111111111
58,58,390,0.11542308756078665,0.9647435897435898,0.9933008390643431,0.707556624574063,0.3720184405692524,0.39416748077809055,0.19071841859061953,0.9138,0.9483333333333334,0.049555555555555554
59,59,390,0.11403728233984647,0.9644431089743589,0.9924097404620932,0.7128554265118142,0.3616339607529035,0.40115488895887064,0.16668509830996184,0.9134,0.9603333333333334,0.03811111111111111
60,60,390,0.10883950384763572,0.9661658653846154,0.9930334527810546,0.7243037467441394,0.35624123422159887,0.4122216456298587,0.13007340212614918,0.9113,0.962,0.03666666666666667
61,61,390,0.10702070263811411,0.9665665064102564,0.9934784544159544,0.7243589743589743,0.3561698717948718,0.3798971305353732,0.215902901713697,0.9153,0.9512222222222222,0.04688888888888889
62,62,390,0.10778403547711861,0.9666466346153846,0.9933449074074074,0.7263621794871795,0.3551682692307692,0.4036584693608405,0.17585633238646345,0.9188,0.957,0.04111111111111111
63,63,390,0.1037782415222281,0.967167467948718,0.9931000712250713,0.7337740384615384,0.3453525641025641,0.38590577584278735,0.16003684444405453,0.9174,0.9607777777777777,0.03744444444444445
64,64,390,0.10227948671254591,0.966806891025641,0.9933000934870676,0.7284741690028034,0.35122146575891067,0.40248606174807006,0.15859474197135004,0.9175,0.9598888888888889,0.03855555555555556
65,65,390,0.0937770691055518,0.9706730769230769,0.9954371438746439,0.7477964743589743,0.3339342948717949,0.3960079814814314,0.19680249124345645,0.9167,0.9575555555555556,0.04055555555555555
66,66,390,0.09607938558627398,0.9693108974358975,0.9943017406401639,0.7444933920704846,0.33800560672807367,0.39948067861267283,0.14637673278929483,0.9174,0.9635555555555556,0.035
67,67,390,0.09119366126564833,0.971474358974359,0.9948580968280467,0.7611611611611612,0.32232232232232233,0.40074409808539135,0.21243397553097193,0.9199,0.9528888888888889,0.04533333333333334
